english,korean
macrocirculatory,거대순환
tunica media,중막
macrocirculatory systems,거대순환계
capillary bed,모세혈관상
lymphscintigraphy,
X-ray,X-ray
soft tissue,연부조직
xeroradiography,
Lipedema,지방부종
subcutaneous adipose tissue,피하지방조직
Prefascial,
venous insufficiency,정맥부전
primary tumor,원발성 종양
malignant tumor,악성 종양
metastases,암 전이(metastases)
systemic circulation,체순환 or 전신 순환
sinus endothelial cells,"관 내피세포(sinus endothelial cells)

"
sinus,"굴, 동굴, 동, 해부학적 부이에 따른 특수명칭까지"
physician,의사 or 내과의(사)
orthostatic edema,기립성 부종
saphenofemoral junction,
lymphography,림프조영술
CAT scan,
artery,동맥
vein,정맥
arteriole,세동맥
venule,세정맥
capillary,모세혈관
continuous capillary,연속 모세혈관
fenestrated capillary,유창모세혈관
discontinuous capillary,
tunica intima,내막
tunica adventitia,외막
vasa vasorum,맥관벽혈관(vasa vasorum)
endothelial cell,내피세포
smooth muscle cell,평활근세포
elastic fiber,탄성섬유
collagen fiber,콜라겐섬유
pericyte,혈관주위세포
lymphatic system,림프계 or 림프 시스템
lymph,림프
lymphatic capillary,림프 모세관
prelymphatic channel,
lymph collector,
lymph node(s),림프절
anchoring filament(s),고정미세섬유
swinging tip,swing tip
fascia occludens,폐쇄띠(fascia occludens)
valve,판막
bone marrow,골수
thymus,흉선
blood-thymus barrier,혈액-흉선 장벽
Hassall’s corpuscle,Hassall 소체
T-lymphocyte,T 림프구
B-lymphocyte,B림프구
major histocompatibility complex,주조직적합복합체(MHC)
spleen,비장
red pulp,적펄프
white pulp,
periarterial lymphatic sheath,동맥주위 림프초
lymph follicle,림프소절 or 림프여포
mucosa-associated lymphoid tissue,점막관련림프조직
Peyer’s patch,파이어스 패치
tonsil,편도
afferent lymphatic vessel,
efferent lymphatic vessel,
marginal sinus,
medullary sinus,
high endothelial venule,
trabecula,섬유주
reticular connective tissue,망상결합조직
metastasis,전이
lymphadenopathy,림프절병증
lymphedema,림프부종
lymphatic drainage,림프배액
lymphangiogenesis,
sentinel lymph node,감시 림프절
lymphoscintigraphy,
Diffusion,확산
Osmosis,삼투
Colloid osmosis,교질 삼투
Ultrafiltration,초여과
Ohm's Law,옴의 법칙
Hagen-Poiseuille's Law,
Peripheral resistance,말초 저항
Blood capillary pressure,모세혈관압
Vasomotion,혈관운동
Vasomotoricity,혈관운동성
Shear stress,전단 스트레스
Endothelium,내피
Fibro-elastic apparatus,
Starling equilibrium,스탈링 평형(Starling equilibrium)
Lymph formation,림프 형성
Lymph flow,
septa,격막
Lymphodynamics,
Lymphatic loads,림프 부하
Sufficiency,유도리 있게 해야할 듯
Insufficiency,
Edema,부종
Dehydration reaction,탈수 반응
Lymph congestion,림프 정체(lymph congestion)
Interstitial fluid,간질액
Protein load,단백질 부하
Cerebrospinal fluid,뇌척수액
Integrin dimers,
interstitial pressure,간질압
Actomyosin,액토미오신
cytoskeleton,세포골격
lymphostatic diseases,림프정체 질환
capillary wall,모세혈관벽
fibloblast,섬유아세포
muscular venules,근육성 세정맥
subendothelial fiber,내피하섬유
lymphangion,
lymphostasis,림프정체
pathomechanism,병리기전
introduction,개요(그러나 유도리있게)
nephropathy,신장병증
"factor ","요인, 요소, 인자 (등등)"
defense mechanisms,"방어기전 or 방어메커니즘 "
"differential diagnosis ",감별진단
Central nervous system,중추신경계
Peripheral nerves,말초신경
immunohistochemical techniques,면역조직화학적 기법(immunohistochemical techniques)
lymphangiosis,
hemangiomatosis carcinomatosa,
inflammatory intestinal diseases,염증성 장질환
protein-losing enteropathy,단백 소실성 장병증
tumor grade,
hypoproteinemic,
cardiomyopathy,심근병증
pneumonopathy,폐병증
hepatopathy,간병증
loose connective tissue,소성결합조직
rough endoplasmic reticulum,조면소포체
lymphangiectasia,
